City,State,City|State,State Initials,County,Household Counts,Comfortable Retirees,Diverse Workers,Elder Midscale Class,Elite Households,Mass Markets,Modest Families,Prosperous Acheivers,Upscale Matures,Well-heeled Affluents,Yound Affluent Mobiles,Young Upscale Families,Young Urban Masses,Land Area,WaterArea,Latitude,Longitude,Population Growth Rate,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,Number of Burgalaries reported,MedianAge,Crime Rate,Homicide Reported,CBSA_Type,FinanceNumber,Property Crime Rate,Housing Construction,HouseholdsPerZipCode,AverageHouseValue,Elevation
Abbeville,Alabama,Abbeville|Alabama,AL,Henry,1469,585,351,223,4,168,31,20,56,4,6,16,5,107.749,3.128,31.593513,-85.228148,-1.41%,2186,1152,78,18,3,25,45,1647,1745,4,46.2,93,,Metro,10020,42.5,0.93%,1412,88900,499
Adamsville,Alabama,Adamsville|Alabama,AL,Jefferson,1601,154,424,193,8,529,6,41,60,5,35,101,45,17.2545,0.1725,33.592857,-86.994015,-2.09%,2399,1511,79,17,3,41,45,1903,2068,10,39.6,403,,Metro,10050,186.5,-0.69%,1534,97100,600
Addison,Alabama,Addison|Alabama,AL,Winston,584,91,374,21,1,56,1,5,4,1,2,24,4,36.868,0.291,34.202745,-87.204788,-1.64%,1197,2,14,2,0,9,9,613,595,1,40.5,32,,,10060,15.5,2.64%,501,88700,827
Alabaster,Alabama,Alabaster|Alabama,AL,Shelby,4979,63,448,125,570,826,25,760,196,36,971,903,56,18.6895,0.335,33.218709,-86.783546,1.25%,10545,1834,1338,154,12,108,696,6443,6670,19,35.6,670,0.5,Metro,10105,306,-2.25%,4590,160100,524
Albertville,Alabama,Albertville|Alabama,AL,Marshall,6457,428,2350,383,27,804,812,165,113,28,111,433,803,58.703,0.5325,34.251568,-86.25698,-0.02%,8165,260,2794,62,30,181,1979,5206,5207,5,32.4,779,0.5,Micro,10120,378,0.70%,3720,101700,592
Alexander City,Alabama,Alexander City|Alabama,AL,Tallapoosa,4389,456,2001,172,42,768,377,104,109,24,64,190,82,108.7975,12.8,32.901124,-85.917795,-0.16%,6940,3055,446,92,15,63,349,4984,5425,32,40.8,797,0.5,,10150,358,1.12%,4238,91800,717
Aliceville,Alabama,Aliceville|Alabama,AL,Pickens,1030,416,342,49,1,91,73,3,7,6,3,33,6,117.801,2.0925,33.011965,-88.183705,-0.99%,518,1962,27,7,0,11,15,1161,1326,5,40.8,53,,Metro,10170,21.5,0.95%,1001,63700,256
Anniston,Alabama,Anniston|Alabama,AL,Calhoun,10869,1737,1227,2019,250,2242,996,181,348,253,494,768,354,65.715,0.3835,33.677138,-85.91992,-0.49%,5283,4694,203,41,11,94,118,4846,5233,207,38.2,2247,2,Metro,10300,855.5,0.25%,4022,58300,730
Arab,Alabama,Arab|Alabama,AL,Marshall,3627,532,518,395,24,743,295,133,266,55,94,479,93,37.1735,0.293,34.321754,-86.496857,-5.22%,8180,34,159,54,9,143,88,4092,4298,15,40.7,613,,Micro,10320,283.5,-3.51%,3424,114100,592
Ardmore,Alabama,Ardmore|Alabama,AL,Limestone,1071,82,286,41,12,362,14,24,29,6,38,150,27,13.5605,0.0475,34.956162,-86.811034,0.54%,2335,180,72,32,1,44,33,1252,1321,1,38.1,24,,Metro,19999,11,-0.48%,994,105900,720
Ashford,Alabama,Ashford|Alabama,AL,Houston,1304,202,269,211,8,345,60,17,32,7,26,65,62,38.5025,0.168,31.1841,-85.252892,0.03%,2686,384,29,7,3,32,12,1533,1561,3,41.8,62,,Metro,10390,28.5,2.04%,1244,102300,326
