Top 5 CITTIES based on weightage scores,State,Mass Markets (W20%),Diverse Workers (W20%),Well-heeled Affluents (20%),Population Growth Rate (10%),Number of Burgalaries reported (10%),Property Crime Rate (10%),Housing Construction (10%),Total Score
Chicago,Illinois,0.0039,0.0057,0.0013,0.0000,0.0023,0.0016,0.0000,0.0149
New York,New York,0.0011,0.0015,0.0065,0.0000,0.0029,0.0026,0.0000,0.0146
Las Vegas,Nevada,0.0039,0.0006,0.0011,0.0000,0.0026,0.0008,0.0000,0.0091
Bronx,New York,0.0033,0.0023,0.0009,0.0001,0.0011,0.0015,0.0000,0.0090
Los Angeles,California,0.0017,0.0020,0.0019,0.0000,0.0018,0.0016,0.0000,0.0090
Phoenix,Arizona,0.0013,0.0028,0.0012,0.0000,0.0009,0.0011,0.0000,0.0073
Tucson,Arizona,0.0013,0.0023,0.0004,0.0000,0.0018,0.0010,0.0000,0.0069
Indianapolis,Indiana,0.0019,0.0014,0.0005,0.0000,0.0022,0.0008,0.0000,0.0069
Fort Worth,Texas,0.0010,0.0012,0.0001,0.0001,0.0031,0.0009,0.0000,0.0064
Severance,Colorado,0.0007,0.0026,0.0000,0.0000,0.0017,0.0006,0.0000,0.0056
Milwaukee,Wisconsin,0.0014,0.0017,0.0004,0.0000,0.0009,0.0005,0.0000,0.0050
Memphis,Tennessee,0.0009,0.0013,0.0005,0.0000,0.0014,0.0007,0.0000,0.0048
Minneapolis,Minnesota,0.0011,0.0008,0.0020,0.0000,0.0003,0.0004,0.0000,0.0046
Portland,Oregon,0.0006,0.0011,0.0017,0.0000,0.0003,0.0006,0.0000,0.0045
Denver,Colorado,0.0019,0.0008,0.0012,0.0000,0.0000,0.0004,0.0000,0.0044
Pittsburgh,Pennsylvania,0.0009,0.0021,0.0009,0.0000,0.0002,0.0002,0.0000,0.0043
Jacksonville,Florida,0.0017,0.0009,0.0003,0.0000,0.0007,0.0006,0.0000,0.0042
San Diego,California,0.0006,0.0013,0.0009,0.0000,0.0006,0.0005,0.0000,0.0040
El Paso,Texas,0.0014,0.0017,0.0001,0.0000,0.0004,0.0003,0.0000,0.0039
Washington,District of Columbia,0.0005,0.0009,0.0011,0.0001,0.0007,0.0006,0.0000,0.0039
Orlando,Florida,0.0024,0.0007,0.0001,0.0000,0.0003,0.0003,0.0000,0.0039
Oklahoma City,Oklahoma,0.0011,0.0012,0.0005,0.0000,0.0006,0.0005,0.0000,0.0039
Seattle,Washington,0.0011,0.0001,0.0014,0.0000,0.0004,0.0008,0.0000,0.0038
Nashville,Tennessee,0.0007,0.0011,0.0004,0.0000,0.0010,0.0004,0.0000,0.0037
Kansas City,Missouri,0.0009,0.0008,0.0008,0.0000,0.0007,0.0004,0.0000,0.0036
Saint Paul,Minnesota,0.0008,0.0005,0.0006,0.0000,0.0013,0.0003,0.0000,0.0036
San Jose,California,0.0006,0.0002,0.0018,0.0001,0.0003,0.0005,0.0000,0.0035
Columbus,Ohio,0.0005,0.0016,0.0004,0.0000,0.0003,0.0007,0.0000,0.0035
Fort Lauderdale,Florida,0.0014,0.0014,0.0003,0.0000,0.0001,0.0002,0.0000,0.0034
San Francisco,California,0.0004,0.0003,0.0010,0.0000,0.0006,0.0009,0.0000,0.0032
Tampa,Florida,0.0014,0.0012,0.0002,0.0000,0.0003,0.0002,0.0000,0.0032
Cleveland,Ohio,0.0006,0.0013,0.0005,0.0000,0.0003,0.0004,0.0000,0.0031
Omaha,Nebraska,0.0002,0.0010,0.0010,0.0000,0.0003,0.0004,0.0000,0.0029
Timnath,Colorado,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0015,0.0027
Oakland,California,0.0002,0.0008,0.0006,0.0001,0.0006,0.0005,0.0000,0.0027
Salt Lake City,Utah,0.0011,0.0002,0.0009,0.0000,0.0001,0.0003,0.0000,0.0027
Colorado Springs,Colorado,0.0005,0.0010,0.0006,0.0000,0.0002,0.0003,0.0000,0.0027
Birmingham,Alabama,0.0006,0.0005,0.0008,0.0000,0.0004,0.0003,0.0000,0.0026
Tulsa,Oklahoma,0.0003,0.0010,0.0005,0.0000,0.0004,0.0004,0.0000,0.0025
Fresno,California,0.0007,0.0005,0.0005,0.0000,0.0003,0.0004,0.0000,0.0023
