Count,Segments,Variable Name,Variable Count
171,Well-heeled Affluents,Attitude: Prefer Auto and Residential with Same Carrier ,1656351
171,Prosperous Acheivers,Attitude: Prefer Auto and Residential with Same Carrier ,2388550
171,Young Affluent Mobiles,Attitude: Prefer Auto and Residential with Same Carrier ,3053584
171,Upscale Matures,Attitude: Prefer Auto and Residential with Same Carrier ,2003181
171,Elite Households,Attitude: Prefer Auto and Residential with Same Carrier ,2371356
171,Young Upscale Families,Attitude: Prefer Auto and Residential with Same Carrier ,3845970
171,Elder Midscale Class,Attitude: Prefer Auto and Residential with Same Carrier ,3139472
171,Comfortable Retirees,Attitude: Prefer Auto and Residential with Same Carrier ,1904409
171,Mass Markets,Attitude: Prefer Auto and Residential with Same Carrier ,4967302
171,Young Urban Masses,Attitude: Prefer Auto and Residential with Same Carrier ,3269245
171,Diverse Workers,Attitude: Prefer Auto and Residential with Same Carrier ,4331816
171,Modest Families,Attitude: Prefer Auto and Residential with Same Carrier ,1689095
171,Well-heeled Affluents,Buy Based on Quality- Not Price- Agree ,933276
171,Prosperous Acheivers,Buy Based on Quality- Not Price- Agree ,1345702
171,Young Affluent Mobiles,Buy Based on Quality- Not Price- Agree ,1901962
171,Upscale Matures,Buy Based on Quality- Not Price- Agree ,1068362
171,Elite Households,Buy Based on Quality- Not Price- Agree ,1349997
171,Young Upscale Families,Buy Based on Quality- Not Price- Agree ,2221763
171,Elder Midscale Class,Buy Based on Quality- Not Price- Agree ,1709107
171,Comfortable Retirees,Buy Based on Quality- Not Price- Agree ,1094782
171,Mass Markets,Buy Based on Quality- Not Price- Agree ,2792014
171,Young Urban Masses,Buy Based on Quality- Not Price- Agree ,2069153
171,Diverse Workers,Buy Based on Quality- Not Price- Agree ,2784539
171,Modest Families,Buy Based on Quality- Not Price- Agree ,1108450
171,Well-heeled Affluents,Buying Electronics- Do As Much Research as Possible- Agree ,878921
171,Prosperous Acheivers,Buying Electronics- Do As Much Research as Possible- Agree ,1210940
171,Young Affluent Mobiles,Buying Electronics- Do As Much Research as Possible- Agree ,1941511
171,Upscale Matures,Buying Electronics- Do As Much Research as Possible- Agree ,926002
171,Elite Households,Buying Electronics- Do As Much Research as Possible- Agree ,1334161
171,Young Upscale Families,Buying Electronics- Do As Much Research as Possible- Agree ,2205959
171,Elder Midscale Class,Buying Electronics- Do As Much Research as Possible- Agree ,1446985
171,Comfortable Retirees,Buying Electronics- Do As Much Research as Possible- Agree ,787940
171,Mass Markets,Buying Electronics- Do As Much Research as Possible- Agree ,2959690
171,Young Urban Masses,Buying Electronics- Do As Much Research as Possible- Agree ,2112325
171,Diverse Workers,Buying Electronics- Do As Much Research as Possible- Agree ,2749212
171,Modest Families,Buying Electronics- Do As Much Research as Possible- Agree ,1184246
171,Well-heeled Affluents,Change Brands Often for Variety/Novelty- Agree ,274319
171,Prosperous Acheivers,Change Brands Often for Variety/Novelty- Agree ,312704
171,Young Affluent Mobiles,Change Brands Often for Variety/Novelty- Agree ,700589
171,Upscale Matures,Change Brands Often for Variety/Novelty- Agree ,247757
171,Elite Households,Change Brands Often for Variety/Novelty- Agree ,484052
171,Young Upscale Families,Change Brands Often for Variety/Novelty- Agree ,799843
171,Elder Midscale Class,Change Brands Often for Variety/Novelty- Agree ,619983
171,Comfortable Retirees,Change Brands Often for Variety/Novelty- Agree ,475265
171,Mass Markets,Change Brands Often for Variety/Novelty- Agree ,1403578
171,Young Urban Masses,Change Brands Often for Variety/Novelty- Agree ,1142900
171,Diverse Workers,Change Brands Often for Variety/Novelty- Agree ,1641004
171,Modest Families,Change Brands Often for Variety/Novelty- Agree ,852494
171,Well-heeled Affluents,Don't Buy Based on Advertising- Agree ,817382
171,Prosperous Acheivers,Don't Buy Based on Advertising- Agree ,1163235
171,Young Affluent Mobiles,Don't Buy Based on Advertising- Agree ,1635898
171,Upscale Matures,Don't Buy Based on Advertising- Agree ,954821
171,Elite Households,Don't Buy Based on Advertising- Agree ,1171244
171,Young Upscale Families,Don't Buy Based on Advertising- Agree ,1946978
171,Elder Midscale Class,Don't Buy Based on Advertising- Agree ,1629095
171,Comfortable Retirees,Don't Buy Based on Advertising- Agree ,1027333
171,Mass Markets,Don't Buy Based on Advertising- Agree ,2718220
171,Young Urban Masses,Don't Buy Based on Advertising- Agree ,1994658
171,Diverse Workers,Don't Buy Based on Advertising- Agree ,2683649
171,Modest Families,Don't Buy Based on Advertising- Agree ,1160697
171,Well-heeled Affluents,Has Home/Personal Property Insurance Through an Agent ,700451
171,Prosperous Acheivers,Has Home/Personal Property Insurance Through an Agent ,1071689
171,Young Affluent Mobiles,Has Home/Personal Property Insurance Through an Agent ,1192648
171,Upscale Matures,Has Home/Personal Property Insurance Through an Agent ,872636
171,Elite Households,Has Home/Personal Property Insurance Through an Agent ,947059
171,Young Upscale Families,Has Home/Personal Property Insurance Through an Agent ,1682399
171,Elder Midscale Class,Has Home/Personal Property Insurance Through an Agent ,1309029
171,Comfortable Retirees,Has Home/Personal Property Insurance Through an Agent ,733913
171,Mass Markets,Has Home/Personal Property Insurance Through an Agent ,1852385
171,Young Urban Masses,Has Home/Personal Property Insurance Through an Agent ,653094
171,Diverse Workers,Has Home/Personal Property Insurance Through an Agent ,1240883
171,Modest Families,Has Home/Personal Property Insurance Through an Agent ,150139
171,Well-heeled Affluents,Has Residential Insurance for Primary Residence ,2527924
171,Prosperous Acheivers,Has Residential Insurance for Primary Residence ,3461788
171,Young Affluent Mobiles,Has Residential Insurance for Primary Residence ,4614521
171,Upscale Matures,Has Residential Insurance for Primary Residence ,2818531
171,Elite Households,Has Residential Insurance for Primary Residence ,3419722
171,Young Upscale Families,Has Residential Insurance for Primary Residence ,5596284
171,Elder Midscale Class,Has Residential Insurance for Primary Residence ,4445147
171,Comfortable Retirees,Has Residential Insurance for Primary Residence ,2676750
171,Mass Markets,Has Residential Insurance for Primary Residence ,6941661
171,Young Urban Masses,Has Residential Insurance for Primary Residence ,2960133
171,Diverse Workers,Has Residential Insurance for Primary Residence ,5559193
171,Modest Families,Has Residential Insurance for Primary Residence ,1235216
171,Well-heeled Affluents,"Has Residential Insurance, 1 Policy ",2155428
171,Prosperous Acheivers,"Has Residential Insurance, 1 Policy ",2945044
171,Young Affluent Mobiles,"Has Residential Insurance, 1 Policy ",4008479
171,Upscale Matures,"Has Residential Insurance, 1 Policy ",2518368
171,Elite Households,"Has Residential Insurance, 1 Policy ",2901021
171,Young Upscale Families,"Has Residential Insurance, 1 Policy ",5046605
171,Elder Midscale Class,"Has Residential Insurance, 1 Policy ",4144928
171,Comfortable Retirees,"Has Residential Insurance, 1 Policy ",2508544
171,Mass Markets,"Has Residential Insurance, 1 Policy ",6328679
