Segments,Variable Name,Variable Count
Well-heeled Affluents,IPA $1 million-$2 million,473362
Prosperous Acheivers,IPA $1 million-$2 million,544477
Young Affluent Mobiles,IPA $1 million-$2 million,475265
Upscale Matures,IPA $1 million-$2 million,238146
Elite Households,IPA $1 million-$2 million,305084
Young Upscale Families,IPA $1 million-$2 million,0
Elder Midscale Class,IPA $1 million-$2 million,18056
Comfortable Retirees,IPA $1 million-$2 million,797
Mass Markets,IPA $1 million-$2 million,0
Young Urban Masses,IPA $1 million-$2 million,0
Diverse Workers,IPA $1 million-$2 million,0
Modest Families,IPA $1 million-$2 million,0
Well-heeled Affluents,IPA $100K-$249K,0
Prosperous Acheivers,IPA $100K-$249K,1086671
Young Affluent Mobiles,IPA $100K-$249K,471794
Upscale Matures,IPA $100K-$249K,1133938
Elite Households,IPA $100K-$249K,1548079
Young Upscale Families,IPA $100K-$249K,2133126
Elder Midscale Class,IPA $100K-$249K,539793
Comfortable Retirees,IPA $100K-$249K,91327
Mass Markets,IPA $100K-$249K,123992
Young Urban Masses,IPA $100K-$249K,58152
Diverse Workers,IPA $100K-$249K,0
Modest Families,IPA $100K-$249K,0
Well-heeled Affluents,IPA $2 million+,1416776
Prosperous Acheivers,IPA $2 million+,40351
Young Affluent Mobiles,IPA $2 million+,33720
Upscale Matures,IPA $2 million+,18585
Elite Households,IPA $2 million+,24959
Young Upscale Families,IPA $2 million+,0
Elder Midscale Class,IPA $2 million+,0
Comfortable Retirees,IPA $2 million+,0
Mass Markets,IPA $2 million+,0
Young Urban Masses,IPA $2 million+,0
Diverse Workers,IPA $2 million+,0
Modest Families,IPA $2 million+,0
Well-heeled Affluents,IPA $250K-$499K,100885
Prosperous Acheivers,IPA $250K-$499K,1006733
Young Affluent Mobiles,IPA $250K-$499K,150014
Upscale Matures,IPA $250K-$499K,819330
Elite Households,IPA $250K-$499K,1311004
Young Upscale Families,IPA $250K-$499K,844320
Elder Midscale Class,IPA $250K-$499K,132497
Comfortable Retirees,IPA $250K-$499K,24425
Mass Markets,IPA $250K-$499K,0
Young Urban Masses,IPA $250K-$499K,0
Diverse Workers,IPA $250K-$499K,0
Modest Families,IPA $250K-$499K,0
Well-heeled Affluents,IPA $25K-$49K,0
Prosperous Acheivers,IPA $25K-$49K,33186
Young Affluent Mobiles,IPA $25K-$49K,1234044
Upscale Matures,IPA $25K-$49K,89737
Elite Households,IPA $25K-$49K,0
Young Upscale Families,IPA $25K-$49K,1100327
Elder Midscale Class,IPA $25K-$49K,1285368
Comfortable Retirees,IPA $25K-$49K,135665
Mass Markets,IPA $25K-$49K,618639
Young Urban Masses,IPA $25K-$49K,587623
Diverse Workers,IPA $25K-$49K,0
Modest Families,IPA $25K-$49K,0
