Segments,Household Counts,Wants to buy security devices,Will Switch Brands,High & Medium IPA*,Pay more to buy Top Quality Electronics,Total Score
Comfortable Retirees,2.00%,1.00%,1.00%,0.00%,0.00%,3.70%
Diverse Workers,4.00%,2.00%,3.00%,0.00%,1.00%,10.40%
Elder Midscale Class,2.00%,2.00%,1.00%,0.00%,1.00%,7.10%
Elite Households,2.00%,4.00%,1.00%,2.00%,1.00%,9.60%
Mass Markets,4.00%,4.00%,3.00%,0.00%,1.00%,12.80%
Modest Families,2.00%,1.00%,1.00%,0.00%,1.00%,5.00%
Prosperous Acheivers,2.00%,4.00%,1.00%,2.00%,1.00%,9.40%
Upscale Matures,1.00%,2.00%,1.00%,1.00%,0.00%,6.40%
Well-heeled  Affluents,1.00%,6.00%,1.00%,1.00%,0.00%,9.70%
Young Affluent Mobiles,3.00%,2.00%,2.00%,1.00%,1.00%,8.80%
Young Upscale Families,3.00%,2.00%,2.00%,2.00%,1.00%,9.70%
Young Urban Masses,3.00%,1.00%,2.00%,0.00%,1.00%,7.40%
