Count,Customer Segments,Variable Name,Variable Count
5,Well-heeled Affluents,I am Willing to Pay More for Top Quality Electronics- Agree ,756944
5,Prosperous Acheivers,I am Willing to Pay More for Top Quality Electronics- Agree ,953399
5,Young Affluent Mobiles,I am Willing to Pay More for Top Quality Electronics- Agree ,1685141
5,Upscale Matures,I am Willing to Pay More for Top Quality Electronics- Agree ,647027
5,Elite Households,I am Willing to Pay More for Top Quality Electronics- Agree ,1153657
5,Young Upscale Families,I am Willing to Pay More for Top Quality Electronics- Agree ,1768303
5,Elder Midscale Class,I am Willing to Pay More for Top Quality Electronics- Agree ,1001329
5,Comfortable Retirees,I am Willing to Pay More for Top Quality Electronics- Agree ,537362
5,Mass Markets,I am Willing to Pay More for Top Quality Electronics- Agree ,2239097
5,Young Urban Masses,I am Willing to Pay More for Top Quality Electronics- Agree ,1705368
5,Diverse Workers,I am Willing to Pay More for Top Quality Electronics- Agree ,1920240
5,Modest Families,I am Willing to Pay More for Top Quality Electronics- Agree ,867047
5,Well-heeled Affluents,Will Switch Brands to Use a Cents-Off Coupon- Agree ,522831
5,Prosperous Acheivers,Will Switch Brands to Use a Cents-Off Coupon- Agree ,704491
5,Young Affluent Mobiles,Will Switch Brands to Use a Cents-Off Coupon- Agree ,1345477
5,Upscale Matures,Will Switch Brands to Use a Cents-Off Coupon- Agree ,596014
5,Elite Households,Will Switch Brands to Use a Cents-Off Coupon- Agree ,887918
5,Young Upscale Families,Will Switch Brands to Use a Cents-Off Coupon- Agree ,1472441
5,Elder Midscale Class,Will Switch Brands to Use a Cents-Off Coupon- Agree ,1081551
5,Comfortable Retirees,Will Switch Brands to Use a Cents-Off Coupon- Agree ,759639
5,Mass Markets,Will Switch Brands to Use a Cents-Off Coupon- Agree ,2168742
5,Young Urban Masses,Will Switch Brands to Use a Cents-Off Coupon- Agree ,1686936
5,Diverse Workers,Will Switch Brands to Use a Cents-Off Coupon- Agree ,2286425
5,Modest Families,Will Switch Brands to Use a Cents-Off Coupon- Agree ,1076186
5,Well-heeled Affluents,Would like to buy Security Devices,1176191
5,Prosperous Acheivers,Would like to buy Security Devices,849727
5,Young Affluent Mobiles,Would like to buy Security Devices,427550
5,Upscale Matures,Would like to buy Security Devices,451118
5,Elite Households,Would like to buy Security Devices,773110
5,Young Upscale Families,Would like to buy Security Devices,367450
5,Elder Midscale Class,Would like to buy Security Devices,424447
5,Comfortable Retirees,Would like to buy Security Devices,121346
5,Mass Markets,Would like to buy Security Devices,807344
5,Young Urban Masses,Would like to buy Security Devices,136007
5,Diverse Workers,Would like to buy Security Devices,327728
5,Modest Families,Would like to buy Security Devices,224353
5,Young Affluent Mobiles,I am Willing to Pay More for Top Quality Electronics- Agree ,0
5,Young Affluent Mobiles,Will Switch Brands to Use a Cents-Off Coupon- Agree ,0
5,Young Affluent Mobiles,Would like to buy Security Devices,0
5,Comfortable Retirees,High & Medium IPA,119470
5,Diverse Workers,High & Medium IPA,0
5,Elder Midscale Class,High & Medium IPA,760180
5,Elite Households,High & Medium IPA,3651132
5,Mass Markets,High & Medium IPA,123992
5,Modest Families,High & Medium IPA,0
5,Prosperous Acheivers,High & Medium IPA,3480767
5,Upscale Matures,High & Medium IPA,2657359
5,Well-heeled Affluents,High & Medium IPA,2569518
5,Young Affluent Mobiles,High & Medium IPA,1952550
5,Young Upscale Families,High & Medium IPA,2977446
5,Young Urban Masses,High & Medium IPA,58152
5,Comfortable Retirees,Household Counts,3502870
5,Diverse Workers,Household Counts,9067386
5,Elder Midscale Class,Household Counts,5126538
5,Elite Households,Household Counts,3782280
5,Mass Markets,Household Counts,8944892
5,Modest Families,Household Counts,3922926
5,Prosperous Acheivers,Household Counts,3653326
5,Upscale Matures,Household Counts,2990662
5,Well-heeled Affluents,Household Counts,2647809
5,Young Affluent Mobiles,Household Counts,5455273
5,Young Upscale Families,Household Counts,6370407
5,Young Urban Masses,Household Counts,6709160
