Segments Based on Weightage Scores,Household Counts,Wants to buy Security Devices,Will Switch Brands,High & Medium IPA,Pay More for Top Quality Electronics,Total Score
Mass Markets,0.0400,0.0400,0.0300,0.0000,0.0100,0.12800
Diverse Workers,0.0400,0.0200,0.0300,0.0000,0.0100,0.10400
Well-heeled  Affluents,0.0100,0.0600,0.0100,0.0100,0.0000,0.09701
Young Upscale Families,0.0300,0.0200,0.0200,0.0200,0.0100,0.09700
Elite Households,0.0200,0.0400,0.0100,0.0200,0.0100,0.09600
Prosperous Acheivers,0.0200,0.0400,0.0100,0.0200,0.0100,0.09400
Young Affluent Mobiles,0.0300,0.0200,0.0200,0.0100,0.0100,0.08800
Young Urban Masses,0.0300,0.0100,0.0200,0.0000,0.0100,0.07400
Elder Midscale Class,0.0200,0.0200,0.0100,0.0000,0.0100,0.07100
Upscale Matures,0.0100,0.0200,0.0100,0.0100,0.0000,0.06400
Modest Families,0.0200,0.0100,0.0100,0.0000,0.0100,0.05000
Comfortable Retirees,0.0200,0.0100,0.0100,0.0000,0.0000,0.03700
