Segments,Media Trusted the Most- Internet ,Media Trusted the Most- Magazines ,Media Trusted the Most- Newspapers ,Media Trusted the Most- Radio ,Media Trusted the Most- Television 
Comfortable Retirees,220009,97417,427752,137664,816223
Diverse Workers,1139415,228062,991678,345074,1935427
Elder Midscale Class,436173,212026,718429,217237,923925
Elite Households,793416,112045,399059,178853,427789
Mass Markets,1543613,223114,899587,401329,1342293
Modest Families,631676,78414,432740,176063,614321
Prosperous Acheivers,499508,140621,485806,171511,494847
Upscale Matures,300271,105414,416756,114881,503135
Well-heeled Affluents,457049,85342,314131,117029,319404
Young Affluent Mobiles,1181905,158654,537613,197564,623010
Young Upscale Families,1137472,209360,691603,292387,889265
Young Urban Masses,1324894,166519,609178,289365,854710
